Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Dir_norml_PAR_photn_flux
.2800E+03 .1664E-36 .1331E-20 .3895E-36
.2810E+03 .3728E-33 .1899E-18 .8757E-33
.2820E+03 .2181E-29 .7352E-18 .5142E-29
.2830E+03 .2023E-27 .6091E-17 .4785E-27
.2840E+03 .1102E-24 .1581E-15 .2617E-24
.2850E+03 .9491E-23 .1580E-14 .2261E-22
.2860E+03 .9495E-21 .1638E-13 .2270E-20
.2870E+03 .1167E-18 .2443E-12 .2799E-18
.2880E+03 .2565E-16 .3492E-11 .6175E-16
.2890E+03 .9095E-15 .2339E-10 .2197E-14
.2900E+03 .3869E-13 .2010E-09 .9379E-13
.2910E+03 .7072E-12 .1002E-08 .1720E-11
.2920E+03 .2250E-10 .5791E-08 .5491E-10
.2930E+03 .1650E-09 .1868E-07 .4041E-09
.2940E+03 .2252E-08 .9025E-07 .5534E-08
.2950E+03 .1351E-07 .2542E-06 .3333E-07
.2960E+03 .1189E-06 .1033E-05 .2943E-06
.2970E+03 .4215E-06 .2506E-05 .1046E-05
.2980E+03 .2346E-05 .9683E-05 .5843E-05
.2990E+03 .5937E-05 .2014E-04 .1484E-04
.3000E+03 .1954E-04 .5739E-04 .4901E-04
.3010E+03 .5395E-04 .1579E-03 .1357E-03
.3020E+03 .1070E-03 .3569E-03 .2701E-03
.3030E+03 .3658E-03 .9569E-03 .9266E-03
.3040E+03 .5720E-03 .1365E-02 .1454E-02
.3050E+03 .1276E-02 .2966E-02 .3254E-02
.3060E+03 .1630E-02 .3739E-02 .4168E-02
.3070E+03 .2857E-02 .6638E-02 .7332E-02
.3080E+03 .4349E-02 .1025E-01 .1120E-01
.3090E+03 .5069E-02 .1317E-01 .1309E-01
.3100E+03 .7276E-02 .1702E-01 .1886E-01
.3110E+03 .1261E-01 .2805E-01 .3278E-01
.3120E+03 .1543E-01 .3255E-01 .4024E-01
.3130E+03 .1897E-01 .3850E-01 .4962E-01
.3140E+03 .2202E-01 .4338E-01 .5779E-01
.3150E+03 .2684E-01 .5164E-01 .7068E-01
.3160E+03 .2512E-01 .4716E-01 .6636E-01
.3170E+03 .3641E-01 .6721E-01 .9647E-01
.3180E+03 .3839E-01 .6933E-01 .1020E+00
.3190E+03 .4730E-01 .8619E-01 .1261E+00
.3200E+03 .4719E-01 .8176E-01 .1262E+00
.3210E+03 .6111E-01 .1093E+00 .1640E+00
.3220E+03 .5423E-01 .9169E-01 .1460E+00
.3230E+03 .5351E-01 .9020E-01 .1445E+00
.3240E+03 .7201E-01 .1225E+00 .1950E+00
.3250E+03 .7282E-01 .1172E+00 .1978E+00
.3260E+03 .1032E+00 .1673E+00 .2811E+00
.3270E+03 .1099E+00 .1749E+00 .3004E+00
.3280E+03 .9727E-01 .1491E+00 .2667E+00
.3290E+03 .1208E+00 .1860E+00 .3323E+00
.3300E+03 .1369E+00 .2061E+00 .3778E+00
.3310E+03 .1181E+00 .1706E+00 .3268E+00
.3320E+03 .1308E+00 .1893E+00 .3631E+00
